id,name,image,price,number,supplier_id
10004,phone,/goods-img/45854bdd-2ca5-423c-a609-3d336d9322b4.jpg,45,1900,1000
10006,phone,/goods-img/7614ce78-0ebc-4275-a7cc-d16ad5f5f6ed.jpg,83,1000,1000
10007,phone,/goods-img/ef75879d-3d3e-4bab-888d-1e4036491e11.jpg,100,1895,1000
10008,phone,/goods-img/b6084354-1841-4241-ba7b-7e97186a9076.jpg,808,990,1001
10009,phone,/goods-img/7b4e03b1-eca7-42f5-8dda-14d02d3ab318.jpg,818,1000,1001
10010,phone,/goods-img/7bca8b59-35f3-480a-a95d-99efcbb8cfda.jpg,715,1000,1001
10011,phone,/qifei/dist/img/no-img.png,1598,1000,1001
10012,phone,/qifei/dist/img/no-img.png,2158,1000,1001
10013,phone,/qifei/dist/img/no-img.png,2158,1000,1001
10014,phone,/qifei/dist/img/no-img.png,2158,1000,1001
10015,phone,/qifei/dist/img/no-img.png,3199,1000,1001
10016,phone,/goods-img/e3de1717-e373-4544-9f1e-057a91fd2595.jpg,1599,1000,1001
10018,phone,/goods-img/0a592388-1535-4f9f-8201-ecb78c48bb3d.jpg,649,1000,1001
10020,phone,/goods-img/fd218943-8f6f-4fb8-91a4-d6216cc5afdc.jpg,649,1000,1001
10021,phone,/goods-img/54641753-d8e7-45da-8c6c-81192552cf15.jpg,649,1013,1001
10022,phone,/goods-img/7b65ad3d-74a4-4322-8653-6bda47a8b4eb.jpg,649,1000,1001
10023,phone,/goods-img/bd8b2d93-c251-46b8-9990-77baaf3075f3.jpg,799,80,1001
10024,phone,/goods-img/71ae1ce8-38e8-4da3-8fa1-5e8157a12685.jpg,799,100,1001
10025,phone,/goods-img/371386b8-ddf4-4fc1-985e-ef0e1a076710.jpg,1099,100,1001
10026,phone,/goods-img/60392ae1-d076-47b5-a00d-b2278e01ccb5.jpg,1099,100,1001
10027,phone,/goods-img/45854bdd-2ca5-423c-a609-3d336d9322b4.jpg,45,1970,1000
10029,phone,/goods-img/7614ce78-0ebc-4275-a7cc-d16ad5f5f6ed.jpg,83,1000,1000
10030,phone,/goods-img/ef75879d-3d3e-4bab-888d-1e4036491e11.jpg,100,2820,1000
10031,phone,/goods-img/89660409-78b7-4d47-ae12-f94b3ce9664b.png,70,3890,1000
10033,phone,/goods-img/f172c500-21d0-42e3-95ce-aa9b84a2ef49.jpg,398,1000,1000
10034,phone,/goods-img/f87bdee1-ed48-4b49-b701-cc44f26a2699.jpg,83,1000,1000
10035,phone,/goods-img/16230038-bf86-4d4e-a11f-954b9ee4bab2.jpg,130,1000,1000
10036,phone,/goods-img/904c8aa1-0257-49e8-ad89-f48d2462db21.jpg,130,993,1000
10038,phone,/goods-img/d66b6e0e-48d4-4503-8dd6-43b3c71f52a4.png,70,1000,1000
10039,phone,/goods-img/d0d8f6d1-1f2d-49f8-9099-0cdd94833581.jpg,85,1700,1000
10040,phone,/goods-img/e553f566-5dc4-4648-be58-fd7112a47b10.jpg,61,1000,1000
10041,phone,/goods-img/a9c0d929-6f0b-4bc7-819c-e5015f447a9e.jpg,200,1950,1000
10042,phone,/goods-img/38d5f694-2236-415d-80c8-4a1695e92d4e.jpg,198,1899,1000
10043,phone,/goods-img/f6832ed7-cb01-48ab-987f-cd437b21be80.jpg,30,1000,1000
10044,phone,/goods-img/cf19de8b-e94e-4513-aecd-a0b5c976b738.jpg,52,1000,1000
10046,phone,/goods-img/d4f3299d-d526-4a81-ae9f-3b53e735075e.jpg,4,1000,1000
10047,phone,/goods-img/ea92b50a-67ba-4279-a71a-4e52e6a3219c.jpg,140,1000,1000
10048,phone,/goods-img/bf1dc4d1-acc2-40c8-8091-1c6f35988643.jpg,45,1000,1000
10050,phone,/goods-img/4059caa9-e0b3-4ac3-a494-b9e4c47e0185.jpg,83,1000,1000
10051,phone,/goods-img/a4a4c981-da0f-4228-bcc7-97d970dc619c.jpg,100,1000,1000
10052,phone,/goods-img/71d1f469-b77b-473a-a31a-78fc97859b3a.png,70,1000,1000
10054,phone,/goods-img/68bfbfd9-bc28-429a-ab2c-7fa62205ed7e.jpg,398,1000,1000
10055,phone,/goods-img/679eb5a8-7689-4620-b072-63daeb8eb73a.jpg,83,1000,1000
10056,phone,/goods-img/eb13afc6-8898-4a50-9f93-06dd2593c313.jpg,130,1000,1000
10057,phone,/goods-img/65aed381-cde0-44ed-b345-5ebf1d74a13b.jpg,130,1000,1000
10059,phone,/goods-img/1e09e1ed-435b-4f08-84d0-d88308a315ee.png,70,1000,1000
10060,phone,/goods-img/dbc2ea2a-ee03-4366-a35e-6ebe66d02399.jpg,85,1000,1000
10061,phone,/goods-img/9389914c-2860-4a75-b603-53ed5a4e0509.jpg,61,1000,1000
10062,phone,/goods-img/6ab010e2-5f1e-4512-bd22-4c2550915d4c.jpg,200,1000,1000
10063,phone,/goods-img/fab00903-7ff6-40ee-a9bc-3fbc2f0f0ffc.jpg,198,1000,1000
10064,phone,/goods-img/ab725751-adb8-452a-86dd-cb3d21da794e.jpg,30,1000,1000
10065,phone,/goods-img/a7221688-3c37-4ac0-b07e-d8bde1525d1e.jpg,52,1000,1000
10067,phone,/goods-img/75e26af4-8f15-43f2-9407-50d641f82acb.jpg,4,1000,1000
10068,phone,/goods-img/69d55773-1b43-497b-af18-90f2cec7c93a.jpg,140,1000,1000
10069,phone,/goods-img/419ddb3c-1793-49c1-8953-77409a5d5bce.jpg,20,1000,1000
10070,phone,/goods-img/e53cc7af-f81c-4752-aec8-007e807b2fc1.jpg,4,1000,1000
10071,phone,/goods-img/481e8994-20cb-4f6c-8b77-4eb8509eb3b9.jpg,398,1000,1000
10072,phone,/goods-img/2c150720-4b3a-4d9e-9ce6-77eb4998e1f1.jpg,42,1000,1000
